1,Saints,-5.5,-110,Bills,5.5,-110,10,13,Saints,80
1,Titans,-3,-110,Redskins,3,-110,6,14,Titans,140
1,Texans,2,-110,Bears,-2,-110,19,20,Bears,50
2,Patriots,-5.5,-110,Titans,5.5,-110,24,27,Patriots,100
3,Cardinals,2,-108,Chargers,-2,-108,31,33,Cardinals,50
4,Patriots,-4.5,-110,Giants,4.5,-110,27,20,Giants,90
4,Chargers,-3,-110,49ers,3,-110,16,13,49ers,90
4,Seahawks,-3,-110,Raiders,3,-110,19,14,Raiders,80
5,Browns,4.5,-110,Steelers,-4.5,-110,7,34,Browns,60
5,Redskins,-3,-110,Dolphins,3,-110,16,13,Redskins,50
5,Chargers,-6.5,-110,Bears,6.5,-110,14,3,Chargers,70
